"lambda_","max_iters","gamma","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.734, 0.73, 0.76, 0.742, 0.77, 0.746, 0.73, 0.746, 0.74, 0.756]"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.732, 0.732, 0.758, 0.74, 0.764, 0.748, 0.728, 0.746, 0.74, 0.76]"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.734, 0.73, 0.76, 0.742, 0.77, 0.746, 0.73, 0.746, 0.74, 0.756]"
1e-05,3200,0.01,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.732, 0.732, 0.758, 0.74, 0.764, 0.748, 0.728, 0.746, 0.74, 0.76]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.698, 0.686, 0.664, 0.67, 0.702, 0.698, 0.658, 0.72, 0.71, 0.722]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.704, 0.688, 0.66, 0.67, 0.702, 0.69, 0.658, 0.716, 0.706, 0.72]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.698, 0.686, 0.664, 0.67, 0.702, 0.698, 0.658, 0.72, 0.71, 0.722]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.704, 0.688, 0.66, 0.67, 0.702, 0.69, 0.658, 0.716, 0.706, 0.72]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.72, 0.7, 0.724, 0.702, 0.734, 0.712, 0.688, 0.728, 0.72, 0.738]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.714, 0.704, 0.72, 0.704, 0.732, 0.714, 0.684, 0.724, 0.726, 0.74]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.72, 0.7, 0.724, 0.702, 0.734, 0.712, 0.688, 0.728, 0.72, 0.738]"
1e-05,3200,0.1,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.714, 0.704, 0.72, 0.704, 0.732, 0.714, 0.684, 0.724, 0.726, 0.74]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.672, 0.626, 0.666, 0.65, 0.6, 0.642, 0.696, 0.64, 0.72]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.64, 0.64, 0.656, 0.602, 0.614, 0.642, 0.69, 0.632, 0.662]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.7, 0.672, 0.626, 0.666, 0.65, 0.6, 0.642, 0.696, 0.64, 0.72]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.692, 0.64, 0.64, 0.656, 0.602, 0.614, 0.642, 0.69, 0.632, 0.662]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.694, 0.67, 0.614, 0.688, 0.714, 0.648, 0.65, 0.708, 0.686, 0.708]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.68, 0.688, 0.674, 0.69, 0.6, 0.662, 0.69, 0.716, 0.682, 0.704]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.694, 0.67, 0.614, 0.688, 0.714, 0.648, 0.65, 0.708, 0.686, 0.708]"
1e-05,3200,1.0,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.68, 0.688, 0.674, 0.69, 0.6, 0.662, 0.69, 0.716, 0.682, 0.704]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.668, 0.676, 0.724, 0.724, 0.738, 0.71, 0.674, 0.718, 0.672, 0.73]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.666, 0.676, 0.726, 0.726, 0.74, 0.708, 0.674, 0.72, 0.672, 0.734]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.668, 0.676, 0.724, 0.724, 0.738, 0.71, 0.674, 0.718, 0.672, 0.73]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.666, 0.676, 0.726, 0.726, 0.74, 0.708, 0.674, 0.72, 0.672, 0.734]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.686, 0.702, 0.738, 0.74, 0.752, 0.722, 0.69, 0.716, 0.694, 0.76]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.674, 0.7, 0.732, 0.742, 0.744, 0.714, 0.688, 0.718, 0.692, 0.752]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.686, 0.702, 0.738, 0.74, 0.752, 0.722, 0.69, 0.716, 0.694, 0.76]"
1e-05,3400,0.0001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.674, 0.7, 0.732, 0.742, 0.744, 0.714, 0.688, 0.718, 0.692, 0.752]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.724, 0.7, 0.754, 0.754, 0.758, 0.742, 0.686, 0.726, 0.71, 0.76]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.722, 0.702, 0.754, 0.754, 0.758, 0.742, 0.684, 0.724, 0.708, 0.76]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.724, 0.7, 0.754, 0.754, 0.758, 0.742, 0.686, 0.726, 0.71, 0.76]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.722, 0.702, 0.754, 0.754, 0.758, 0.742, 0.684, 0.724, 0.708, 0.76]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.724, 0.71, 0.764, 0.752, 0.77, 0.748, 0.694, 0.742, 0.728, 0.77]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.726, 0.71, 0.764, 0.746, 0.768, 0.748, 0.694, 0.746, 0.73, 0.77]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.724, 0.71, 0.764, 0.752, 0.77, 0.748, 0.694, 0.742, 0.728, 0.77]"
1e-05,3400,0.001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.726, 0.71, 0.764, 0.746, 0.768, 0.748, 0.694, 0.746, 0.73, 0.77]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.744, 0.706, 0.762, 0.752, 0.776, 0.738, 0.706, 0.734, 0.74, 0.752]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.706, 0.76, 0.752, 0.776, 0.742, 0.71, 0.74, 0.738, 0.748]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.744, 0.706, 0.762, 0.752, 0.776, 0.738, 0.706, 0.734, 0.74, 0.752]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.746, 0.706, 0.76, 0.752, 0.776, 0.742, 0.71, 0.74, 0.738, 0.748]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.75, 0.726, 0.78, 0.748, 0.774, 0.744, 0.724, 0.756, 0.752, 0.75]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.75, 0.728, 0.778, 0.746, 0.776, 0.742, 0.72, 0.756, 0.752, 0.754]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.75, 0.726, 0.78, 0.748, 0.774, 0.744, 0.724, 0.756, 0.752, 0.75]"
1e-05,3400,0.01,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.75, 0.728, 0.778, 0.746, 0.776, 0.742, 0.72, 0.756, 0.752, 0.754]"
1e-05,3400,0.1,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.726, 0.678, 0.72, 0.706, 0.746, 0.736, 0.68, 0.7, 0.72, 0.742]"
1e-05,3400,0.1,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.732, 0.678, 0.716, 0.71, 0.746, 0.742, 0.678, 0.696, 0.722, 0.744]"
1e-05,3400,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.726, 0.678, 0.72, 0.706, 0.746, 0.736, 0.68, 0.7, 0.72, 0.742]"
1e-05,3400,0.1,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.732, 0.678, 0.716, 0.71, 0.746, 0.742, 0.678, 0.696, 0.722, 0.744]"
1e-05,3400,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.734, 0.696, 0.718, 0.696, 0.76, 0.744, 0.676, 0.686, 0.742, 0.746]"
1e-05,3400,0.1,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.74, 0.702, 0.718, 0.684, 0.76, 0.738, 0.678, 0.68, 0.732, 0.754]"
