"lambda_","max_iters","gamma","categorical_subsets","standardize","nan_threshold_percentage","nan_replacement_type","extrema_clip_percentage","non_informative_threshold","feature_augmentation","poly_max_degree","ihs","sine","sinh","cosine","cosh","exp","abs","seed","test_accuracies"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.766, 0.708, 0.77, 0.746, 0.782, 0.772, 0.724, 0.74, 0.76, 0.768]"
1e-05,200,1.0,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.766, 0.708, 0.77, 0.746, 0.782, 0.772, 0.728, 0.74, 0.764, 0.768]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.5,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.67, 0.664, 0.73, 0.716, 0.72, 0.7, 0.672, 0.712, 0.668, 0.734]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.5,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.67, 0.666, 0.728, 0.718, 0.718, 0.7, 0.67, 0.708, 0.662, 0.736]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.67, 0.664, 0.73, 0.716, 0.72, 0.7, 0.672, 0.712, 0.668, 0.734]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.6333333333333333,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.67, 0.666, 0.728, 0.718, 0.718, 0.7, 0.67, 0.708, 0.662, 0.736]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.68, 0.69, 0.738, 0.73, 0.744, 0.72, 0.68, 0.71, 0.692, 0.76]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.7666666666666666,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.684, 0.682, 0.728, 0.73, 0.73, 0.71, 0.686, 0.712, 0.684, 0.756]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.9,"mean",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.68, 0.69, 0.738, 0.73, 0.744, 0.72, 0.68, 0.71, 0.692, 0.76]"
1e-05,400,0.0001,"[[0, 1, 2, 3]]",True,0.9,"median",0.0,1.0,False,0,False,False,False,False,False,False,False,270404,"[0.684, 0.682, 0.728, 0.73, 0.73, 0.71, 0.686, 0.712, 0.684, 0.756]"
